File Name,File Path,Created Time,Last Modified Time,SHA256 Hash,,
employee_access.txt,scan_folder\employee_access.txt,2026-04-13 23:25:14.522204,2026-03-04 14:23:40.101085,c0f038198c5af1cc8d8e4c75453934424d8fdffe77322d423371dd46ed3ad460,UNCHANGED,2026-04-14 00:12:33.822434
payment_logs.txt,scan_folder\payment_logs.txt,2026-04-13 23:25:14.538680,2026-03-04 14:39:35.780969,badd79f4494346e09ac943fb6980d30097ae07c2d371b188a6b0ce86bf74d546,UNCHANGED,2026-04-14 00:12:33.822434
sales_data.txt,scan_folder\sales_data.txt,2026-04-13 23:25:14.557706,2026-04-06 10:54:54.970722,4f9c00caf26a5c755ab7304ee21effc089023c901c65b2957d72de322dcb608e,UNCHANGED,2026-04-14 00:12:33.822434
employee_access.txt,scan_folder\employee_access.txt,2026-03-04 14:23:40,2026-04-14 20:21:37.482910,c0f038198c5af1cc8d8e4c75453934424d8fdffe77322d423371dd46ed3ad460,UNCHANGED,2026-04-14 20:25:57.802336
payment_logs.txt,scan_folder\payment_logs.txt,2026-03-04 14:39:34,2026-04-14 20:21:37.498822,badd79f4494346e09ac943fb6980d30097ae07c2d371b188a6b0ce86bf74d546,UNCHANGED,2026-04-14 20:25:57.802336
sales_data.txt,scan_folder\sales_data.txt,2026-04-06 10:54:54,2026-04-14 20:21:37.506826,4f9c00caf26a5c755ab7304ee21effc089023c901c65b2957d72de322dcb608e,UNCHANGED,2026-04-14 20:25:57.802336
employee_access.txt,scan_folder\employee_access.txt,2026-03-04 14:23:40,2026-04-14 20:21:37.482910,c0f038198c5af1cc8d8e4c75453934424d8fdffe77322d423371dd46ed3ad460,UNCHANGED,2026-04-14 20:26:49.649006
payment_logs.txt,scan_folder\payment_logs.txt,2026-03-04 14:39:34,2026-04-14 20:21:37.498822,badd79f4494346e09ac943fb6980d30097ae07c2d371b188a6b0ce86bf74d546,UNCHANGED,2026-04-14 20:26:49.649006
sales_data.txt,scan_folder\sales_data.txt,2026-04-06 10:54:54,2026-04-14 20:21:37.506826,4f9c00caf26a5c755ab7304ee21effc089023c901c65b2957d72de322dcb608e,UNCHANGED,2026-04-14 20:26:49.649006
employee_access.txt,scan_folder\employee_access.txt,2026-03-04 14:23:40,2026-04-14 20:27:20.488367,ae22f94077cac2f5a8e1accf39e7f76b59f668396deefd0e61917f8f3ef79e36,MODIFIED,2026-04-14 20:27:31.165860
